endTime,artistName,trackName,msPlayed,month
2021-03-17T19:05:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-17T19:08:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-17T19:09:00Z,Bennett,Stressing,93892,March 2021
2021-03-17T19:13:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-17T19:17:00Z,Lou,This Forever,271293,March 2021
2021-03-17T19:20:00Z,Carter Reeves,Alone Time,206666,March 2021
2021-03-17T19:24:00Z,Aaron Kellim,Hold You,203778,March 2021
2021-03-17T20:37:00Z,Mills,Kanye in My Head,2688,March 2021
2021-03-17T20:37:00Z,Dave Mac,Better Again,36967,March 2021
2021-03-17T20:37:00Z,MisterWives,SUPERBLOOM,1653,March 2021
2021-03-17T20:40:00Z,Forrest.,Backwards,173283,March 2021
2021-03-17T20:44:00Z,Livingston,Say The Word,223351,March 2021
2021-03-17T20:46:00Z,BRELAND,Hot Sauce,131039,March 2021
2021-03-17T20:49:00Z,Logan Smith,One Day,176056,March 2021
2021-03-17T20:53:00Z,Luke Mitrani,Golden Eyes,269666,March 2021
2021-03-17T20:56:00Z,Gordon Snyder,Outta PA,194642,March 2021
2021-03-17T20:59:00Z,Yoste,You Can't Fix Me,159637,March 2021
2021-03-17T21:02:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-17T21:05:00Z,Mob Rich,Loser,145146,March 2021
2021-03-17T21:08:00Z,Emily Brimlow,Afasawaya,168413,March 2021
2021-03-17T22:18:00Z,Emily Brimlow,Afasawaya,3890,March 2021
2021-03-17T22:20:00Z,Nathan Nzanga,Seeds,56010,March 2021
2021-03-17T22:20:00Z,Shockley,Close Enough,93160,March 2021
2021-03-17T22:22:00Z,Evan Crommett,Thin Mints,117990,March 2021
2021-03-18T06:53:00Z,Evan Crommett,Thin Mints,43289,March 2021
2021-03-18T07:01:00Z,Sincerely Collins,Yap Yap,253714,March 2021
2021-03-18T07:05:00Z,Andrey Azizov,You Forever,258913,March 2021
2021-03-18T07:06:00Z,Bastille,survivin',41473,March 2021
2021-03-18T23:43:00Z,ELLIS!,I'm Good (feat. Sammy Adams),8590,March 2021
2021-03-18T23:43:00Z,Bastille,survivin',3780,March 2021
2021-03-18T23:46:00Z,Corey Harper,entertainment,184843,March 2021
2021-03-18T23:49:00Z,The Unlikely Candidates,High Low,184473,March 2021
2021-03-18T23:53:00Z,Senadanielcano,Changes,211286,March 2021
2021-03-18T23:56:00Z,Jackson Penn,My Girl,178194,March 2021
2021-03-19T00:00:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-19T00:03:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-19T00:06:00Z,Bennett,Stressing,213707,March 2021
2021-03-19T00:34:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-19T00:38:00Z,Lou,This Forever,271293,March 2021
2021-03-19T00:42:00Z,Carter Reeves,Alone Time,206666,March 2021
2021-03-19T00:44:00Z,Aaron Kellim,Hold You,105219,March 2021
2021-03-19T00:47:00Z,Dave Mac,Better Again,218591,March 2021
2021-03-19T00:49:00Z,Mills,Kanye in My Head,122000,March 2021
2021-03-19T00:53:00Z,MisterWives,SUPERBLOOM,213546,March 2021
2021-03-19T00:56:00Z,Forrest.,Backwards,173283,March 2021
2021-03-19T01:00:00Z,Livingston,Say The Word,223352,March 2021
2021-03-19T01:02:00Z,BRELAND,Hot Sauce,144000,March 2021
2021-03-19T01:05:00Z,Logan Smith,One Day,176056,March 2021
2021-03-19T01:09:00Z,Luke Mitrani,Golden Eyes,269666,March 2021
2021-03-19T01:13:00Z,Gordon Snyder,Outta PA,194642,March 2021
2021-03-19T01:16:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-19T01:18:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T01:23:00Z,Emily Brimlow,Afasawaya,180800,March 2021
2021-03-19T01:25:00Z,Shockley,Close Enough,174377,March 2021
2021-03-19T01:29:00Z,Nathan Nzanga,Seeds,220000,March 2021
2021-03-19T01:32:00Z,Evan Crommett,Thin Mints,161276,March 2021
2021-03-19T01:36:00Z,Sincerely Collins,Yap Yap,253714,March 2021
2021-03-19T01:47:00Z,Andrey Azizov,You Forever,258913,March 2021
2021-03-19T01:50:00Z,Bastille,survivin',173206,March 2021
2021-03-19T01:54:00Z,ELLIS!,I'm Good (feat. Sammy Adams),203604,March 2021
2021-03-19T01:57:00Z,Corey Harper,entertainment,184843,March 2021
2021-03-19T02:00:00Z,The Unlikely Candidates,High Low,184473,March 2021
2021-03-19T02:03:00Z,Senadanielcano,Changes,211286,March 2021
2021-03-19T02:06:00Z,Jackson Penn,My Girl,178194,March 2021
2021-03-19T02:10:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-19T02:13:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-19T02:17:00Z,Bennett,Stressing,213707,March 2021
2021-03-19T02:20:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-19T02:25:00Z,Lou,This Forever,271293,March 2021
2021-03-19T02:28:00Z,Carter Reeves,Alone Time,206666,March 2021
2021-03-19T02:32:00Z,Aaron Kellim,Hold You,203778,March 2021
2021-03-19T02:36:00Z,Dave Mac,Better Again,218591,March 2021
2021-03-19T02:38:00Z,Mills,Kanye in My Head,122000,March 2021
2021-03-19T02:41:00Z,MisterWives,SUPERBLOOM,213546,March 2021
2021-03-19T02:44:00Z,Forrest.,Backwards,173283,March 2021
2021-03-19T02:48:00Z,Livingston,Say The Word,223352,March 2021
2021-03-19T02:49:00Z,BRELAND,Hot Sauce,59196,March 2021
2021-03-19T02:49:00Z,Logan Smith,One Day,5210,March 2021
2021-03-19T02:49:00Z,Emily Brimlow,Afasawaya,1620,March 2021
2021-03-19T02:49:00Z,Gordon Snyder,Outta PA,34280,March 2021
2021-03-19T02:49:00Z,Luke Mitrani,Golden Eyes,300,March 2021
